US,,,,,UK
Year,Genre_id,Name,AverageProfit,,
2000,21,Documentary,"$35,168,022",,
2000,19,Biography,"$29,112,700",,
2000,15,Sport,"$17,511,556",,
2000,10,Musical,"$15,542,421",,
2000,3,Fantasy,"$11,849,336",,
2000,8,Comedy,"$10,695,054",,
2000,16,Crime,"$10,681,876",,
2000,1,Action,"$10,296,954",,
2000,11,Mystery,"$9,758,969",,
2000,6,Romance,"$9,237,323",,
2000,17,Horror,"$8,055,926",,
2000,2,Adventure,"$6,870,501",,
2000,13,Drama,"$5,981,952",,
2000,18,War,"$3,330,342",,
2000,9,Family,"$3,045,152",,
2000,5,Thriller,"$2,610,134",,
2000,20,Music,"$4,104,447",,
2000,4,Sci-Fi,"$6,910,228",,
2000,7,Animation,"$18,104,135",,
2000,12,Western,"$19,770,285",,
2000,14,History,"$21,051,456",,
2001,9,Family,"$43,852,339",,
2001,3,Fantasy,"$26,275,335",,
2001,2,Adventure,"$25,438,173",,
2001,7,Animation,"$22,544,055",,
2001,14,History,"$19,525,127",,
2001,18,War,"$19,411,042",,
2001,8,Comedy,"$15,714,599",,
2001,5,Thriller,"$13,408,380",,
2001,19,Biography,"$13,266,383",,
2001,1,Action,"$9,849,930",,
2001,17,Horror,"$8,016,801",,
2001,16,Crime,"$7,700,001",,
2001,4,Sci-Fi,"$6,956,008",,
2001,6,Romance,"$5,417,234",,
2001,20,Music,"$3,238,313",,
2001,10,Musical,"$736,236",,
2001,13,Drama,"$270,848",,
2001,11,Mystery,"$2,412,691",,
2001,15,Sport,"$16,076,461",,
2001,12,Western,"$29,555,820",,
2002,3,Fantasy,"$55,866,976",,
2002,10,Musical,"$39,748,284",,
2002,2,Adventure,"$38,685,435",,
2002,21,Documentary,"$37,725,956",,
2002,9,Family,"$32,568,150",,
2002,19,Biography,"$29,207,102",,
2002,6,Romance,"$25,084,879",,
2002,1,Action,"$22,393,940",,
2002,8,Comedy,"$20,023,104",,
2002,20,Music,"$16,527,999",,
2002,13,Drama,"$11,529,393",,
2002,4,Sci-Fi,"$10,738,806",,
2002,7,Animation,"$9,421,228",,
2002,16,Crime,"$7,512,727",,
2002,5,Thriller,"$5,931,388",,
2002,11,Mystery,"$3,982,662",,
2002,15,Sport,"$3,717,429",,
2002,17,Horror,"$3,409,597",,
2002,14,History,"$3,120,196",,
2002,12,Western,"$6,784,690",,
2002,18,War,"$37,297,053",,
2003,7,Animation,"$73,853,721",,
2003,9,Family,"$47,592,616",,
2003,3,Fantasy,"$36,400,067",,
2003,12,Western,"$36,328,680",,
2003,20,Music,"$28,604,443",,
2003,2,Adventure,"$26,889,679",,
2003,15,Sport,"$25,212,465",,
2003,8,Comedy,"$21,848,997",,
2003,19,Biography,"$14,627,010",,
2003,1,Action,"$14,074,912",,
2003,6,Romance,"$13,297,728",,
2003,13,Drama,"$11,919,868",,
2003,17,Horror,"$11,027,202",,
2003,11,Mystery,"$10,060,769",,
2003,10,Musical,"$5,491,623",,
2003,5,Thriller,"$5,183,786",,
2003,16,Crime,"$4,790,161",,
2003,4,Sci-Fi,"$2,982,171",,
2003,21,Documentary,"$1,490,404",,
2003,14,History,"$13,684,073",,
2003,18,War,"$24,010,904",,
2004,7,Animation,"$51,204,758",,
2004,9,Family,"$31,603,631",,
2004,21,Documentary,"$31,202,027",,
2004,15,Sport,"$26,600,841",,
2004,3,Fantasy,"$25,414,658",,
2004,2,Adventure,"$25,182,915",,
2004,11,Mystery,"$19,464,021",,
2004,6,Romance,"$18,163,255",,
2004,8,Comedy,"$15,291,121",,
2004,18,War,"$14,242,378",,
2004,17,Horror,"$12,792,348",,
2004,1,Action,"$12,634,311",,
2004,5,Thriller,"$6,310,052",,
2004,19,Biography,"$4,192,608",,
2004,13,Drama,"$3,078,381",,
2004,4,Sci-Fi,"$3,485,992",,
2004,16,Crime,"$4,205,830",,
2004,20,Music,"$4,664,684",,
2004,10,Musical,"$9,008,848",,
2004,14,History,"$24,111,229",,
2004,12,Western,"$59,093,518",,
2005,7,Animation,"$33,615,210",,
2005,3,Fantasy,"$22,073,035",,
2005,20,Music,"$21,641,022",,
2005,9,Family,"$18,912,374",,
2005,17,Horror,"$18,326,652",,
2005,11,Mystery,"$15,612,584",,
2005,6,Romance,"$12,625,560",,
2005,2,Adventure,"$12,005,332",,
2005,4,Sci-Fi,"$11,176,978",,
2005,8,Comedy,"$10,569,742",,
2005,15,Sport,"$7,618,696",,
2005,19,Biography,"$6,788,555",,
2005,16,Crime,"$4,258,152",,
2005,21,Documentary,"$2,373,940",,
2005,13,Drama,"$1,238,645",,
2005,5,Thriller,"$205,661",,
2005,1,Action,"$7,469,771",,
2005,10,Musical,"$7,735,706",,
2005,12,Western,"$17,059,380",,
2005,14,History,"$19,372,179",,
2005,18,War,"$76,218,400",,
2006,7,Animation,"$31,773,893",,
2006,15,Sport,"$29,590,173",,
2006,3,Fantasy,"$29,549,172",,
2006,1,Action,"$23,305,473",,
2006,9,Family,"$22,345,823",,
2006,20,Music,"$21,443,501",,
2006,8,Comedy,"$20,490,847",,
2006,18,War,"$19,851,307",,
2006,11,Mystery,"$18,288,322",,
2006,2,Adventure,"$17,684,185",,
2006,17,Horror,"$16,848,359",,
2006,6,Romance,"$14,990,643",,
2006,10,Musical,"$10,136,941",,
2006,16,Crime,"$8,115,581",,
2006,13,Drama,"$7,199,777",,
2006,19,Biography,"$3,500,316",,
2006,5,Thriller,"$2,718,368",,
2006,21,Documentary,"$239,475",,
2006,12,Western,"$2,747,274",,
2006,4,Sci-Fi,"$8,116,818",,
2006,14,History,"$10,200,810",,
2007,7,Animation,"$44,189,271",,
2007,4,Sci-Fi,"$36,450,660",,
