Year,Genre_id,Name,AverageProfit
2000,7,Animation,61793915
2000,9,Family,29352624
2000,2,Adventure,26070622
2000,8,Comedy,21916406
2000,16,Crime,21799863
2000,20,Music,14592862
2000,13,Drama,9013675
2000,6,Romance,6758138
2000,17,Horror,279017
2000,3,Fantasy,3088667
2000,19,Biography,6439124
2000,12,Western,19596068
2001,2,Adventure,192557891
2001,3,Fantasy,192557891
2001,9,Family,192557891
2001,11,Mystery,21500105
2001,6,Romance,968944
2001,13,Drama,647449
2001,15,Sport,2407809
2001,8,Comedy,2592601
2001,19,Biography,4207881
2001,16,Crime,12866937
2001,5,Thriller,15174118
2001,1,Action,16284601
2001,18,War,23058881
2001,20,Music,31471505
2002,3,Fantasy,161970615
2002,9,Family,161970615
2002,11,Mystery,72479131
2002,2,Adventure,29508392
2002,15,Sport,29041560
2002,4,Sci-Fi,21798099
2002,17,Horror,4934740
2002,1,Action,2199372
2002,6,Romance,1435299
2002,8,Comedy,5170834
2002,13,Drama,5957506
2002,20,Music,7965819
2002,5,Thriller,13315490
2002,18,War,24942366
2002,16,Crime,25774934
2002,14,History,33031639
2003,3,Fantasy,29483949
2003,1,Action,11228180
2003,5,Thriller,11090549
2003,8,Comedy,3668758
2003,6,Romance,3531127
2003,13,Drama,3531127
2003,2,Adventure,7027590
2003,4,Sci-Fi,7302852
2004,3,Fantasy,119358727
2004,11,Mystery,119358727
2004,9,Family,34563391
2004,2,Adventure,22587871
2004,14,History,5972900
2004,18,War,5972900
2004,17,Horror,4050609
2004,16,Crime,3198960
2004,5,Thriller,7041630
2004,13,Drama,8587908
2004,10,Musical,9586563
2004,6,Romance,13126439
2004,15,Sport,14168495
2004,8,Comedy,14728455
2004,1,Action,50231945
2004,4,Sci-Fi,50231945
2005,3,Fantasy,68429678
2005,9,Family,50170141
2005,11,Mystery,37551240
2005,7,Animation,5258013
2005,6,Romance,836765
2005,2,Adventure,54038
2005,13,Drama,1208254
2005,17,Horror,2281452
2005,5,Thriller,2703175
2005,20,Music,8965564
2005,8,Comedy,9808467
2005,18,War,12950608
2005,14,History,14333738
2005,16,Crime,18528330
2005,4,Sci-Fi,18669461
2005,1,Action,47811492
2006,19,Biography,10406486
2006,13,Drama,622505
2006,15,Sport,855569
2006,21,Documentary,855569
2006,5,Thriller,3209270
2006,1,Action,3758494
2006,17,Horror,4863568
2006,16,Crime,7532320
2006,14,History,17655926
2006,8,Comedy,20545504
2006,6,Romance,23811131
2006,11,Mystery,28816617
2006,2,Adventure,38150404
2006,18,War,46917712
2006,7,Animation,84540684
2006,9,Family,84540684
2007,11,Mystery,59513797
2007,9,Family,39299826
2007,3,Fantasy,27092776
2007,2,Adventure,14738350
2007,17,Horror,13637507
2007,8,Comedy,11585998
2007,21,Documentary,865951
2007,6,Romance,2856316
2007,20,Music,3628423
2007,4,Sci-Fi,4343711
2007,13,Drama,4985944
2007,1,Action,6724577
2007,19,Biography,11782199
2007,18,War,15627242
2007,14,History,19800738
